code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_high,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
002131,利欧股份,2025-09-02,4,1,23.00,119.27,65.94,53.14,5.79,6.20,5.71,5.91,5.91,3300,19503.88,116758.69,2025-09-03,sell_t1_close,2,5.90,5.90,19435.80,119812.35,-68,-68.08,-0.00
002074,国轩高科,2025-09-02,22,3,10.00,108.68,63.39,30.45,40.12,42.47,39.58,40.92,40.94,400,16382.14,100376.55,2025-09-03,sell_t1_close,2,42.04,42.02,16785.78,136598.13,404,403.64,0.02
000981,山子高科,2025-09-03,20,3,15.00,59.01,29.27,32.70,2.65,2.72,2.51,2.70,2.70,7300,19746.77,116851.37,2025-09-04,sell_drop7,2,2.37,2.37,17270.06,134121.43,-2477,-2476.71,-0.13
300450,先导智能,2025-09-08,7,1,48.00,200.99,161.06,90.02,53.80,59.11,53.90,55.41,55.44,300,16637.51,117483.91,2025-09-09,sell_t1_close,2,56.06,56.03,16787.78,120416.57,150,150.27,0.01
300274,阳光电源,2025-09-08,15,4,45.00,260.31,217.11,196.11,134.40,145.93,132.82,138.43,138.50,100,13855.12,103628.79,2025-09-09,sell_t1_close,2,128.94,128.88,12869.67,133286.24,-985,-985.46,-0.07
002709,天赐材料,2025-09-09,7,2,14.00,82.20,42.98,30.95,28.02,30.68,28.52,28.58,28.59,600,17161.81,116124.42,2025-09-10,sell_t1_close,2,27.78,27.77,16638.01,113999.44,-524,-523.81,-0.03
002407,多氟多,2025-09-09,9,8,27.00,52.01,39.64,11.01,16.71,18.30,16.70,17.04,17.05,1100,18762.99,97361.43,2025-09-10,sell_t1_close,2,16.97,16.96,18634.01,132633.45,-129,-128.99,-0.01
600580,卧龙电驱,2025-09-15,9,2,4.00,131.75,109.99,101.38,46.15,48.01,45.80,47.07,47.10,400,18843.61,113789.83,2025-09-16,sell_t1_close,2,47.58,47.56,18998.46,132788.29,155,154.85,0.01
600977,中国电影,2025-09-16,52,10,14.00,42.92,34.27,30.56,21.18,23.15,20.18,21.60,21.61,900,19457.96,73610.25,2025-09-17,sell_t1_close,2,19.92,19.91,17896.12,91506.36,-1562,-1561.84,-0.08
000981,山子高科,2025-09-16,3,2,7.00,83.82,38.74,52.79,3.05,3.36,3.05,3.11,3.11,6400,19925.36,112862.94,2025-09-19,sell_t1_close,4,3.87,3.87,24725.86,116232.22,4801,4800.51,0.24
600376,首开股份,2025-09-16,7,4,6.00,14.49,26.05,16.05,6.06,6.67,6.15,6.18,6.18,3200,19794.73,93068.21,2025-09-19,sell_drop7,4,7.26,7.26,23192.16,139424.39,3397,3397.43,0.17
000981,山子高科,2025-09-19,2,2,2.00,114.23,68.07,43.83,4.07,4.36,3.66,4.15,4.15,4800,19941.68,119482.70,2025-09-23,sell_t1_close,3,4.24,4.24,20316.48,120028.95,375,374.80,0.02
600376,首开股份,2025-09-19,5,6,3.00,34.97,20.26,26.38,8.07,8.85,7.26,8.23,8.24,2400,19770.24,99712.47,2025-09-23,sell_t1_close,3,7.66,7.66,18351.43,138380.38,-1419,-1418.80,-0.07
600895,张江高科,2025-09-24,1,2,17.00,69.97,77.82,71.61,46.09,50.71,46.11,47.01,47.04,400,18819.12,119561.26,2025-09-25,sell_t1_close,2,52.08,52.05,20795.76,122407.37,1977,1976.64,0.11
002549,凯美特气,2025-09-24,12,5,11.00,60.89,51.66,35.36,25.12,27.48,24.00,25.62,25.64,700,17949.65,101611.61,2025-09-25,sell_t1_close,2,27.55,27.54,19251.08,141658.46,1301,1301.43,0.07
600895,张江高科,2025-09-25,4,1,2.00,119.66,69.97,77.82,50.71,54.93,50.13,51.72,51.75,300,15530.02,126128.44,2025-09-26,sell_t1_close,2,52.03,52.00,15580.59,121852.19,51,50.58,0.00
300604,长川科技,2025-09-25,65,5,10.00,105.87,112.90,42.41,96.32,99.50,92.40,99.21,99.26,200,19856.84,106271.60,2025-09-26,sell_t1_close,2,95.60,95.55,19086.33,140938.52,-771,-770.51,-0.04
601727,上海电气,2025-09-26,3,1,32.00,103.54,120.08,72.54,9.76,10.00,9.40,9.96,9.96,2000,19925.36,121013.16,2025-09-29,sell_t1_close,2,9.26,9.26,18487.23,119793.43,-1438,-1438.13,-0.07
002298,中电鑫龙,2025-09-26,9,5,14.00,48.22,32.46,22.86,13.79,14.99,12.85,14.07,14.07,1400,19706.97,101306.20,2025-09-29,sell_t1_close,2,11.99,11.98,16755.83,136549.26,-2951,-2951.14,-0.15
002709,天赐材料,2025-09-30,8,4,12.00,77.45,80.77,55.43,37.59,40.10,36.48,38.34,38.36,500,19185.49,117363.77,2025-10-09,sell_t1_close,2,38.79,38.77,19360.92,136724.69,175,175.43,0.01
601727,上海电气,2025-10-10,1,1,39.00,129.27,44.66,53.35,10.38,11.22,10.28,10.59,10.59,1800,19072.21,117652.48,2025-10-13,sell_t1_close,2,10.77,10.76,19351.93,84565.81,280,279.72,0.01
