code,name,entry_date,rank_t_minus_2,rank_t1,rank_t,rank_t_plus_1,open_T,high_T,low_T,close_T,is_limit_up_open,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,rank_exit,close_exit,is_limit_up_exit,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
600664,哈药股份,2025-01-07,22.0,2,77,69,4.8,4.97,4.3,4.41,False,4.8,4.8024,4100,19695.746951999998,80304.253048,2025-01-08,not_limit_up_and_rank_drop,2,69,4.73,False,4.42,4.41779,18089.3921793,22177.709804050002,-1606,-1606.3547726999968,-0.08155845912393184
002603,以岭药业,2025-01-07,437.0,4,186,310,17.15,17.24,16.2,16.6,False,17.15,17.158575,1100,18880.09482975,61424.15821825,2025-01-08,not_limit_up_and_rank_drop,2,310,16.28,False,16.57,16.561715,18194.203247550002,40371.9130516,-686,-685.8915821999981,-0.036328820823464066
002317,众生药业,2025-01-07,749.0,12,286,522,12.9,12.95,12.06,12.52,False,12.9,12.90645,1500,19365.4829025,4088.3176247500014,2025-01-08,not_limit_up_and_rank_drop,2,522,12.37,False,12.46,12.453770000000002,18656.370148500002,59028.283200100006,-709,-709.112753999998,-0.0366173545772233
002364,中恒电气,2025-01-07,81.0,6,4,43,12.9,13.86,12.83,13.86,False,12.9,12.90645,1500,19365.4829025,42058.67531575,2025-01-09,not_limit_up,3,43,13.72,False,13.72,13.713140000000001,20542.969377,79571.25257710001,1177,1177.4864745000013,0.06080336237564171
002733,雄韬股份,2025-01-07,29.0,9,8,34,16.9,18.72,16.84,18.72,False,16.9,16.90845,1100,18604.874788499998,23453.80052725,2025-01-10,not_limit_up,4,34,20.39,False,20.39,20.379805,22388.642378850003,23364.056776000012,3784,3783.767590350006,0.203375063437074
002031,巨轮智能,2025-01-09,121.0,2,11,8,5.5,5.87,5.49,5.55,False,5.5,5.50275,3600,19815.842969999998,59755.40960710001,2025-01-10,not_limit_up,2,8,5.77,False,5.77,5.7671149999999995,20734.623901799998,44098.68067780001,919,918.7809318,0.04636597762663841
002354,天娱数科,2025-01-09,87.0,3,45,25,5.65,5.99,5.57,5.72,False,5.65,5.652825,3500,19790.82296625,39964.58664085001,2025-01-10,not_limit_up,2,25,5.83,False,5.83,5.827085,20368.28426325,64466.96494105001,577,577.461296999998,0.029178235689580136
600693,东百集团,2025-01-09,114.0,4,32,50,6.72,7.98,6.72,7.28,False,6.72,6.72336,2900,19503.5933232,20460.99331765001,2025-01-10,not_limit_up,2,50,6.54,False,6.54,6.53673,18931.8735279,83398.83846895001,-572,-571.7197952999995,-0.02931356216394878
002449,国星光电,2025-01-09,66.0,9,31,42,12.98,14.37,12.03,13.88,False,12.98,12.98649,1500,19485.5789205,975.4143971500089,2025-01-10,not_limit_up,2,42,12.49,False,12.49,12.483755,18701.28917775,102100.12764670001,-784,-784.2897427499993,-0.04024975321235539
600584,长电科技,2025-01-13,231.0,7,96,202,39.25,39.93,38.2,38.75,False,39.25,39.269625,500,19640.70294375,63742.46029765002,2025-01-14,not_limit_up_and_rank_drop,2,202,40.45,False,38.9,38.88055,19415.0026425,24600.646163650017,-226,-225.70030124999903,-0.011491457403352289
300059,东方财富,2025-01-13,39.0,10,9,3,21.4,22.28,21.4,22.06,False,21.4,21.4107,900,19275.410889,44467.04940865002,2025-01-14,not_limit_up,2,3,23.8,False,23.8,23.788100000000004,21381.457923000005,45982.104086650026,2106,2106.0470340000065,0.10926081141034849
603990,麦迪科技,2025-01-13,22.0,12,72,192,13.0,14.28,11.7,12.16,False,13.0,13.006499999999999,1500,19515.602925,24951.44648365002,2025-01-14,not_limit_up_and_rank_drop,2,192,12.68,False,11.0,10.9945,16470.25825,62452.362336650025,-3045,-3045.3446750000003,-0.15604666105902543
002187,广百股份,2025-01-13,179.0,15,69,240,7.9,8.92,7.78,8.16,False,7.9,7.90395,2500,19765.8029625,5185.6435211500175,2025-01-14,not_limit_up_and_rank_drop,2,240,8.28,False,7.35,7.346325,18341.93694375,80794.29928040002,-1424,-1423.8660187500027,-0.07203684168315268
002265,建设工业,2025-01-13,104.0,5,11,17,31.17,31.98,28.02,28.02,False,31.17,31.185585,600,18716.964405299997,83383.16324140002,2025-01-16,not_limit_up,4,17,30.51,False,30.51,30.494745,18273.0610989,25094.199381600036,-444,-443.9033063999959,-0.02371662929883533
300085,银之杰,2025-01-15,219.0,4,40,76,41.49,45.73,40.53,43.33,False,41.49,41.510745,400,16609.298,64185.00128040003,2025-01-16,not_limit_up_and_rank_drop,2,76,44.99,False,44.01,43.987995,17572.3242426,42666.52362420004,963,963.0262426000008,0.05798115264112914
600580,卧龙电驱,2025-01-15,84.0,6,45,93,15.95,16.65,15.57,15.79,False,15.95,15.957974999999998,1200,19155.314870999995,45029.686409400034,2025-01-16,not_limit_up_and_rank_drop,2,93,15.83,False,15.72,15.712140000000002,18830.057061600004,61496.58068580004,-325,-325.25780939999095,-0.016980029385599497
300058,蓝色光标,2025-01-15,403.0,7,21,90,7.14,7.49,7.04,7.24,False,7.14,7.1435699999999995,2700,19293.425291699998,25736.261117700036,2025-01-16,not_limit_up_and_rank_drop,2,90,6.99,False,7.06,7.05647,19027.7007903,80524.28147610005,-266,-265.72450139999637,-0.013772800701921533
000158,常山北明,2025-01-15,177.0,8,72,128,21.0,21.18,19.89,20.08,False,21.0,21.0105,900,18915.122835000002,6821.138282700034,2025-01-16,not_limit_up_and_rank_drop,2,128,19.86,False,20.44,20.42978,18362.8991574,98887.18063350004,-552,-552.2236776000027,-0.02919482376176716
300792,壹网壹创,2025-01-16,5.0,5,5,35,34.9,37.5,34.33,37.5,False,34.9,34.917449999999995,500,17463.962617499998,81423.21801600004,2025-01-17,not_limit_up,2,35,32.56,False,32.56,32.54372000000001,16250.588140000003,97673.80615600005,-1213,-1213.374477499994,-0.06947876058118195
002291,遥望科技,2025-01-17,5.0,2,11,62,8.43,8.43,7.66,7.96,False,8.43,8.434215,2300,19404.514108350002,78269.29204765004,2025-01-20,not_limit_up_and_rank_drop,2,62,7.16,False,7.16,7.156420000000001,16438.306234000003,20989.153878600046,-2966,-2966.2078743499987,-0.152861744323379
300394,天孚通信,2025-01-17,530.0,3,36,107,74.86,78.81,74.14,76.71,False,74.86,74.89743,200,14984.486,63284.80604765004,2025-01-20,not_limit_up_and_rank_drop,2,107,80.19,False,77.95,77.91102500000001,15561.622795000001,36550.77667360005,577,577.1367950000003,0.03851562175706263
600601,方正科技,2025-01-17,83.0,6,10,61,5.42,5.93,5.33,5.6,False,5.42,5.4227099999999995,3600,19527.612526799996,43757.19352085004,2025-01-20,not_limit_up_and_rank_drop,2,61,5.45,False,5.6,5.5972,20123.725103999997,56674.501777600046,596,596.1125772000014,0.0305266491938985
000759,中百集团,2025-01-17,102.0,7,41,100,10.15,11.0,9.75,9.9,False,10.15,10.155075,1900,19300.430892750002,24456.76262810004,2025-01-20,not_limit_up_and_rank_drop,2,100,10.08,False,9.5,9.49525,18017.5217325,74692.02351010004,-1283,-1282.9091602500012,-0.0664704931915231
000016,深康佳Ａ,2025-01-17,56.0,10,43,127,6.63,6.88,6.21,6.32,False,6.63,6.633315,3000,19905.9149835,4550.847644600042,2025-01-20,not_limit_up_and_rank_drop,2,127,5.96,False,6.25,6.246875,18716.2621875,93408.28569760005,-1190,-1189.6527959999985,-0.059763783628439135
002130,沃尔核材,2025-01-21,143.0,1,5,9,27.73,28.85,26.87,28.26,False,27.73,27.743865,700,19426.53171165,73981.75398595005,2025-01-22,not_limit_up,2,9,28.26,False,28.26,28.245870000000004,19746.405258300005,35465.57771185006,320,319.87354665000385,0.016465808276944112
300718,长盛轴承,2025-01-21,133.0,2,19,69,47.63,56.4,47.29,53.38,False,47.63,47.653815,400,19067.244457800003,54914.509528150054,2025-01-22,not_limit_up_and_rank_drop,2,69,53.63,False,51.6,51.574200000000005,20602.861416,56068.43912785006,1536,1535.6169581999966,0.08053691038569595
600255,鑫科材料,2025-01-21,241.0,3,43,58,3.82,3.97,3.64,3.81,False,3.82,3.8219099999999995,5200,19879.894179599996,35034.615348550054,2025-01-22,not_limit_up_and_rank_drop,2,58,3.86,False,3.74,3.7381300000000004,19413.0062412,75481.44536905007,-467,-466.8879383999956,-0.023485433784607292
600693,东百集团,2025-01-21,90.0,7,41,72,7.72,8.36,7.5,8.04,False,7.72,7.723859999999999,2500,19315.442894999996,15719.172453550058,2025-01-22,not_limit_up_and_rank_drop,2,72,7.4,False,7.81,7.806095,19489.867691249998,94971.31306030006,174,174.42479625000124,0.009030328592421399
002400,省广集团,2025-01-22,9.0,9,108,118,8.5,8.52,8.23,8.28,False,8.5,8.504249999999999,2300,19565.6429325,75405.67012780005,2025-01-23,not_limit_up_and_rank_drop,2,118,8.12,False,8.44,8.43578,19377.071017799997,19960.92033130005,-189,-188.5719147000018,-0.00963791046123865
000833,粤桂股份,2025-01-22,10.0,10,251,398,12.09,12.16,11.45,11.51,False,12.09,12.096044999999998,1600,19359.478101599998,56046.19202620006,2025-01-23,not_limit_up_and_rank_drop,2,398,11.31,False,11.78,11.77411,18814.0858512,38775.00618250005,-545,-545.3922503999966,-0.028171846758354588
600186,莲花控股,2025-01-22,11.0,11,175,84,5.12,5.34,5.08,5.16,False,5.12,5.12256,3900,19983.9773952,36062.21463100005,2025-01-23,not_limit_up_and_rank_drop,2,84,5.33,False,5.2,5.1974,20243.509182,59018.515364500054,260,259.531786800002,0.01298699361331041
000063,中兴通讯,2025-01-22,80.0,3,17,23,41.7,42.91,41.26,42.43,False,41.7,41.72085,400,16693.346502,583.8493135000535,2025-01-23,not_limit_up,2,23,40.48,False,40.48,40.459759999999996,16162.720096,75181.23546050006,-531,-530.6264060000012,-0.031786700523854086
603598,引力传媒,2025-01-22,12.0,12,225,77,18.77,18.97,17.59,17.81,False,18.77,18.779384999999998,1000,18785.0188155,17277.195815500054,2025-01-24,not_limit_up_and_rank_drop,3,77,20.4,False,19.88,19.87006,19844.228922,58331.12688275006,1059,1059.2101064999988,0.056385895425668534
300458,全志科技,2025-01-23,2.0,2,49,95,36.35,37.57,35.37,35.68,False,36.35,36.368175,500,18189.54272625,38486.89796075006,2025-01-24,not_limit_up_and_rank_drop,2,95,36.54,False,35.45,35.432275000000004,17693.10652125,76024.23340400006,-496,-496.4362050000018,-0.027292396102051336
603042,华脉科技,2025-01-23,37.0,13,12,73,18.49,18.49,15.13,15.13,False,18.49,18.499245,1000,18504.794773499998,56676.44068700006,2025-01-27,not_limit_up_and_rank_drop,3,73,14.98,False,14.98,14.972510000000002,14952.537490000002,32826.278978400056,-3552,-3552.2572834999955,-0.19196415453291307
601727,上海电气,2025-01-24,208.0,1,9,46,7.7,7.78,7.43,7.74,False,7.7,7.70385,2500,19265.4028875,56758.83051650006,2025-01-27,not_limit_up,2,46,7.22,False,7.22,7.2163900000000005,18017.5217325,50843.80071090006,-1248,-1247.8811549999991,-0.06477316681550759
002582,好想你,2025-01-24,68.0,4,66,79,9.44,9.96,9.08,9.39,False,9.44,9.444719999999998,2100,19839.862173599995,36918.96834290006,2025-01-27,not_limit_up_and_rank_drop,2,79,8.35,False,9.29,9.285355,19473.89648085,70317.69719175006,-366,-365.9656927499964,-0.018445979591378933
001356,富岭股份,2025-01-24,,7,59,72,19.03,19.96,17.46,17.49,False,19.03,19.039515,1000,19045.226854500004,17873.741488400054,2025-01-27,not_limit_up_and_rank_drop,2,72,14.74,False,16.86,16.85157,16829.662959,87147.36015075006,-2216,-2215.563895500003,-0.11633171462993154
002583,海能达,2025-01-27,8.0,8,48,215,13.36,13.42,12.35,12.35,False,13.36,13.366679999999999,1400,18718.9660056,68428.39414515006,2025-02-05,not_limit_up_and_rank_drop,2,215,12.46,False,11.96,11.954020000000002,16713.871683600002,29202.541444500064,-2005,-2005.0943219999972,-0.10711565592886646
002896,中大力德,2025-01-27,9.0,9,42,114,44.15,45.65,42.57,44.05,False,44.15,44.172075,400,17674.130649,50754.26349615006,2025-02-05,not_limit_up_and_rank_drop,2,114,45.42,False,44.18,44.15791,17640.2018868,46842.743331300066,-34,-33.928762199997436,-0.001919684926733136
002945,华林证券,2025-01-27,10.0,10,320,834,15.76,15.84,14.95,14.95,False,15.76,15.767879999999998,1200,18927.1324368,31827.13105935006,2025-02-05,not_limit_up_and_rank_drop,2,834,14.76,False,14.96,14.952520000000002,17919.6980688,64762.44140010007,-1007,-1007.4343679999984,-0.0532269941769544
300170,汉得信息,2025-01-27,15.0,15,15,62,21.47,22.15,19.16,19.54,False,21.47,21.480735,900,19338.461298449998,12488.669760900062,2025-02-05,not_limit_up_and_rank_drop,2,62,19.73,False,20.3,20.28985,18237.1258755,82999.56727560007,-1101,-1101.3354229499964,-0.056950519793333806
300010,豆神教育,2025-02-05,48.0,16,73,159,7.98,8.41,7.56,8.4,False,7.98,7.98399,2500,19965.9629925,63033.60428310007,2025-02-06,not_limit_up_and_rank_drop,2,159,8.59,False,8.16,8.15592,20363.29326,29079.470202000066,397,397.3302674999977,0.01990038084560462
000856,冀东装备,2025-02-05,29.0,18,95,123,11.46,11.7,11.46,11.46,False,11.46,11.46573,1700,19497.5885223,43536.015760800066,2025-02-06,not_limit_up_and_rank_drop,2,123,11.23,False,10.31,10.304845,17495.46279255,46574.932994550065,-2002,-2002.1257297500015,-0.1026858130409362
603667,五洲新春,2025-02-05,2.0,2,70,96,42.88,44.14,41.28,41.94,False,42.88,42.90144,400,17165.7241728,26370.291588000066,2025-02-06,not_limit_up_and_rank_drop,2,96,44.03,False,41.88,41.85906000000001,16721.8572888,63296.79028335007,-444,-443.8668839999991,-0.025857742995971572
000681,视觉中国,2025-02-05,3.0,3,21,36,25.2,26.58,24.11,25.33,False,25.2,25.2126,700,17654.114645999998,8716.176942000067,2025-02-06,not_limit_up,2,36,25.58,False,25.58,25.56721,17873.7808389,81170.57112225007,220,219.66619290000017,0.01244277593664383
600255,鑫科材料,2025-02-06,49.0,4,178,190,3.82,4.0,3.71,3.99,False,3.82,3.8219099999999995,5200,19879.894179599996,61290.67694265007,2025-02-07,not_limit_up_and_rank_drop,2,190,3.94,False,3.91,3.9080450000000004,20295.415615800004,25849.53060465007,416,415.5214362000079,0.020901591952456187
300766,每日互动,2025-02-06,2.0,2,6,6,34.7,34.7,34.11,34.7,False,34.7,34.71735,500,17363.8826025,43926.79434015007,2025-02-07,not_limit_up,2,6,39.94,False,39.94,39.92003,19934.0669805,45783.59758515007,2570,2570.184377999998,0.14801899073136732
601360,三六零,2025-02-06,3.0,3,2,9,12.3,13.2,12.16,12.98,False,12.3,12.30615,1600,19695.746952,24231.047388150066,2025-02-07,not_limit_up,2,9,13.0,False,13.0,12.993500000000001,20762.57352,66546.17110515008,1067,1066.8265680000004,0.054165326687022126
300229,拓尔思,2025-02-06,6.0,6,32,56,26.66,29.96,25.86,27.75,False,26.66,26.67333,700,18676.9323993,5554.114988850066,2025-02-07,not_limit_up_and_rank_drop,2,56,27.41,False,27.51,27.496245000000002,19222.34991705,85768.52102220008,545,545.4175177500001,0.02920273555042915
002031,巨轮智能,2025-02-07,6.0,6,11,41,7.16,7.82,7.0,7.79,False,7.16,7.16358,2700,19347.468499799998,7337.814867000077,2025-02-10,not_limit_up,2,41,7.56,False,7.56,7.55622,20375.2716678,27713.086534800077,1028,1027.8031680000022,0.053123392758625085
002131,利欧股份,2025-02-07,2.0,2,15,4,3.99,4.24,3.98,4.1,False,3.99,3.991995,5000,19965.9629925,46357.011115200075,2025-02-11,not_limit_up,3,4,4.68,False,4.68,4.67766,23357.895210000002,40295.599244800076,3392,3391.9322175000016,0.16988573096995843
002354,天娱数科,2025-02-07,4.0,4,13,13,7.28,8.01,7.15,7.32,False,7.28,7.28364,2700,19671.7277484,26685.283366800075,2025-02-11,not_limit_up,3,13,8.16,False,8.16,8.15592,21992.3567208,62287.95596560008,2321,2320.628972399998,0.11796772515768202
002594,比亚迪,2025-02-10,1.0,1,20,59,107.65,109.34,105.87,108.72,False,107.65,107.703825,100,10775.3825,16937.704034800077,2025-02-11,not_limit_up_and_rank_drop,2,59,108.64,False,111.78,111.72411000000001,11156.238589000002,73444.19455460008,381,380.8560890000026,0.035345018053883716
002600,领益智造,2025-02-11,29.0,4,134,133,9.72,9.9,9.66,9.75,False,9.72,9.72486,2000,19455.554915999997,53988.639638600085,2025-02-12,not_limit_up_and_rank_drop,2,133,9.87,False,9.94,9.93503,19844.228922,36236.81012570008,389,388.6740060000011,0.019977533803487692
600186,莲花控股,2025-02-11,12.0,10,8,14,6.53,7.46,6.36,7.46,False,6.53,6.533265,3000,19605.6749385,34382.964700100085,2025-02-12,not_limit_up,2,14,7.97,False,7.97,7.9660150000000005,23866.9775415,60103.787667200086,4261,4261.302603,0.21735046696260413
300790,宇瞳光学,2025-02-11,44.0,12,120,187,29.96,30.1,28.35,29.2,False,29.96,29.97498,600,17990.383496399998,16392.581203700087,2025-02-12,not_limit_up_and_rank_drop,2,187,28.79,False,27.85,27.836075000000005,16679.932861500005,76783.7205287001,-1310,-1310.450634899993,-0.07284172875815702
600120,浙江东方,2025-02-07,3.0,1,4,6,6.7,6.7,6.52,6.7,False,6.7,6.7033499999999995,2900,19445.5469145,66322.97410770008,2025-02-13,not_limit_up,5,6,8.61,False,8.61,8.605695,24924.072029850002,43514.2662365001,5479,5478.525115350003,0.28173674617836647
002261,拓维信息,2025-02-12,4.0,8,6,3,27.95,29.91,27.6,29.91,False,27.95,27.963974999999998,700,19580.654934749997,57203.0655939501,2025-02-13,not_limit_up,2,3,30.19,False,30.19,30.174905000000003,21094.974336450003,64609.240572950104,1514,1514.319401700006,0.07733752557032846
000158,常山北明,2025-02-12,3.0,1,5,7,23.86,26.57,23.86,26.57,False,23.86,23.87193,800,19103.273263199997,38099.792330750104,2025-02-13,not_limit_up,2,7,27.26,False,27.26,27.246370000000002,21768.7597752,86378.0003481501,2665,2665.486512000003,0.13953035562417046
600839,四川长虹,2025-02-12,1.0,2,9,4,10.83,12.0,10.82,11.72,False,10.83,10.835415,1800,19509.5981241,18590.194206650103,2025-02-14,not_limit_up,3,4,12.6,False,12.6,12.5937,22639.190742,33492.80857055011,3130,3129.592617899998,0.16041297201473592
000977,浪潮信息,2025-02-13,15.0,3,70,24,62.26,62.27,59.84,60.56,False,62.26,62.291129999999995,300,18692.9452017,67685.0551464501,2025-02-14,not_limit_up,2,24,63.16,False,63.16,63.12842,18913.905916199998,52406.714486750105,221,220.96071449999727,0.01182054042933279
300059,东方财富,2025-02-13,34.0,10,37,31,24.24,24.73,24.05,24.1,False,24.24,24.252119999999998,800,19407.5165088,48277.538637650105,2025-02-14,not_limit_up,2,31,24.16,False,24.16,24.147920000000003,19293.222163200004,71699.9366499501,-114,-114.29434559999572,-0.005889179357295456
002031,巨轮智能,2025-02-13,2.0,2,8,8,8.54,9.6,8.54,9.38,False,8.54,8.54427,2300,19657.716546299995,10853.617828550108,2025-02-14,not_limit_up,2,8,8.44,False,8.44,8.43578,19377.071017799997,91077.0076677501,-281,-280.64552849999745,-0.014276608772895395
300251,光线传媒,2025-02-13,1.0,8,1,1,25.36,28.74,25.12,28.74,False,25.36,25.37268,700,17766.2042628,30511.334374850103,2025-02-17,not_limit_up,3,1,29.46,False,29.46,29.44527,20584.8938043,111661.90147205011,2819,2818.6895415,0.15865457245709763
000034,神州数码,2025-02-17,36.0,12,25,37,57.97,57.97,53.51,53.96,False,57.97,57.998985,300,17404.91540865,94256.98606340011,2025-02-18,not_limit_up,2,37,56.44,False,56.44,56.41178,16901.5334058,41449.30998180012,-503,-503.38200284999766,-0.0289218298986862
300287,飞利信,2025-02-17,154.0,13,95,108,7.75,8.44,7.3,7.38,False,7.75,7.753875,2500,19390.50290625,74866.48315715011,2025-02-18,not_limit_up_and_rank_drop,2,108,7.44,False,7.38,7.37631,18416.8019925,59866.11197430012,-974,-973.700913749999,-0.050215351218980145
002594,比亚迪,2025-02-17,124.0,16,96,54,117.36,118.28,113.51,114.84,False,117.36,117.41868,100,11746.867999999999,63119.61515715011,2025-02-18,not_limit_up_and_rank_drop,2,54,117.42,False,115.81,115.75209500000001,11558.6342905,71424.74626480012,-188,-188.23370949999844,-0.016024161461591163
002131,利欧股份,2025-02-17,24.0,18,27,60,4.37,4.63,4.37,4.51,False,4.37,4.372185,4500,19680.73494975,43438.880207400114,2025-02-18,not_limit_up_and_rank_drop,2,60,4.21,False,4.47,4.467765,20078.806074750002,91503.55233955012,398,398.0711250000022,0.020226435954570833
600633,浙数文化,2025-02-17,22.0,20,15,44,17.16,19.51,17.16,19.51,False,17.16,17.16858,1100,18891.103631399998,24547.776576000117,2025-02-18,not_limit_up,2,44,18.63,False,18.63,18.620685,20456.125920450002,111959.67826000013,1565,1565.0222890500045,0.08284440758922577
002044,美年健康,2025-02-18,6.0,6,28,63,7.46,7.78,6.78,7.08,False,7.46,7.46373,2600,19411.5197094,92548.15855060013,2025-02-19,not_limit_up_and_rank_drop,2,63,7.06,False,7.07,7.066465000000001,18348.924348300003,90940.12710775013,-1063,-1062.5953610999968,-0.054740451907298975
603716,塞力医疗,2025-02-18,17.0,17,89,243,11.73,11.74,10.75,11.06,False,11.73,11.735865,1700,19956.955791149998,72591.20275945013,2025-02-19,not_limit_up_and_rank_drop,2,243,10.72,False,9.96,9.955020000000001,16901.533405800004,107841.66051355013,-3055,-3055.4223853499934,-0.15310062402928878
