code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
002354,天娱数科,2025-01-17,46,68,19,17.1753025939,26.8925183071,28.1068431542,6.47,5.98,6.017099999999999,6.020108549999999,1600,9637.173679999998,90362.82632000001,2025-01-20,sell_t1_close,2,5.99,5.987005000000001,9564.628792000001,99927.45511200001,-72.54488799999672,-72.54488799999672,-0.007527610314894391
002031,巨轮智能,2025-01-21,9,4,1,40.8368797017,45.766611577,61.117641911899995,7.04,6.4,6.547199999999999,6.550473599999999,1500,9830.710399999998,90096.74471200001,2025-01-22,sell_t1_close,2,6.64,6.63668,9940.064980000001,100036.80969200001,109.3545800000029,109.3545800000029,0.011123771889364467
600255,鑫科材料,2025-01-27,49,4,99,23.07355185,22.99474272,17.80481166,4.1,3.78,3.8129999999999993,3.814906499999999,2600,9923.756899999997,90113.05279200002,2025-02-05,sell_t1_close,2,3.91,3.9080450000000004,10145.756083000002,100258.80887500002,221.99918300000536,221.99918300000536,0.022370477757270076
002131,利欧股份,2025-02-14,18,24,22,56.2318970242,66.4828637226,59.8472540295,4.69,4.23,4.3617,4.363880849999999,2200,9605.537869999998,90653.27100500002,2025-02-17,sell_t1_close,2,4.51,4.507745,9902.121961,100555.39296600001,296.58409100000245,296.58409100000245,0.030876364761029514
000977,浪潮信息,2025-02-18,40,10,24,107.4071585386,142.4696104817,103.1292075235,67.76,62.81,63.0168,63.0483084,100,6309.8308400000005,94245.56212600002,2025-02-19,sell_t1_close,2,64.46,64.42777,6431.334222999999,91553.33934900002,121.5033829999984,121.5033829999984,0.019256202912723154
600986,浙文互联,2025-02-18,6,16,52,55.4539764,33.34031899,40.6043144,9.8,9.01,9.114,9.118557000000001,1000,9123.557,85122.00512600002,2025-02-19,sell_t1_close,2,10.66,10.654670000000001,10639.015330000002,102192.35467900001,1515.4583300000013,1515.4583300000013,0.1661038923744326
002261,拓维信息,2025-02-25,2,3,1,174.2961568543,165.449681582,153.9402557099,41.52,37.37,38.6136,38.63290679999999,200,7731.581359999998,94460.77331900001,2025-02-26,sell_t1_close,2,37.56,37.54122,7495.735756000001,101956.50907500001,-235.84560399999737,-235.84560399999737,-0.030504187050292828
000887,中鼎股份,2025-02-27,138,32,37,46.32198619729999,44.001603136899995,34.4686627833,24.06,21.96,22.375799999999998,22.386987899999998,400,8959.79516,92996.71391500001,2025-02-28,sell_drop7,2,20.48,20.46976,8174.716096,101171.43001100002,-785.0790639999996,-785.0790639999996,-0.08762243443967302
002031,巨轮智能,2025-02-28,16,3,4,42.0296976442,70.4690069817,88.363219273,10.8,9.74,10.044,10.049022,900,9049.1198,92122.31021100002,2025-03-03,sell_t1_close,2,9.9,9.895050000000001,8891.639455000002,82456.99082100003,-157.48034499999812,-157.48034499999812,-0.017402835687952558
600580,卧龙电驱,2025-02-28,75,81,40,41.14149054,53.85688995,77.99363822,23.26,21.21,21.6318,21.642615899999996,400,8662.046359999998,83460.26385100003,2025-03-03,sell_t1_close,2,21.12,21.109440000000003,8430.332224000002,90887.32304500003,-231.71413599999687,-231.71413599999687,-0.026750507486316074
600839,四川长虹,2025-02-28,47,88,65,40.61863449,35.53764319,46.91344312,11.81,10.95,10.9833,10.98879165,900,9894.912484999999,73565.35136600003,2025-03-03,sell_t1_close,2,10.97,10.964515,9853.1954365,100740.51848150002,-41.71704849999878,-41.71704849999878,-0.004216009849833329
002195,岩山科技,2025-03-13,9,2,1,76.5225831507,142.1846457113,128.0823921789,6.77,6.21,6.296099999999999,6.299248049999999,1500,9453.872075,91286.64640650002,2025-03-14,sell_t1_close,2,6.33,6.326835,9475.7622475,81912.35333400001,21.890172500001427,21.890172500001427,0.002315471621187706
600589,大位科技,2025-03-13,61,11,5,27.87808935,39.09496994,34.86934699,8.29,7.56,7.709699999999999,7.713554849999999,1200,9261.265819999999,82025.38058650002,2025-03-14,sell_t1_close,2,7.83,7.826085000000001,9376.910698000002,91289.26403200002,115.64487800000279,115.64487800000279,0.01248694079704137
