fetch_time,date,kind,code,name,value,latest_price,source
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300058,蓝色光标,67.0,14.51,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600941,中国移动,67.0,96.25,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002352,顺丰控股,67.0,36.79,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601398,工商银行,66.0,7.5,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600872,中炬高新,66.0,18.53,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000568,泸州老窖,66.0,105.2,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600489,中金黄金,63.0,26.08,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600875,东方电气,62.0,36.9,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000002,万科A,62.0,4.34,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002104,恒宝股份,61.0,16.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000592,平潭发展,61.0,10.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601698,中国卫通,59.0,32.92,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002837,英维克,59.0,105.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002555,三七互娱,59.0,22.42,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002131,利欧股份,57.0,7.33,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600690,海尔智家,57.0,24.51,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603778,国晟科技,57.0,24.21,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603799,华友钴业,57.0,57.41,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601288,农业银行,56.0,6.76,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300766,每日互动,55.0,34.42,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600095,湘财股份,55.0,9.6,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002202,金风科技,55.0,29.2,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601336,新华保险,55.0,68.76,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600096,云天化,55.0,37.21,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002670,国盛证券,54.0,14.51,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002163,海南发展,54.0,12.9,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002304,洋河股份,54.0,50.36,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601088,中国神华,54.0,49.55,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300456,赛微电子,54.0,45.65,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600031,三一重工,54.0,19.43,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603127,昭衍新药,53.0,28.1,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601788,光大证券,53.0,15.81,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603601,再升科技,52.0,11.22,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002497,雅化集团,52.0,22.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002639,雪人集团,52.0,17.49,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600426,华鲁恒升,51.0,35.55,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600580,卧龙电驱,51.0,37.7,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603083,剑桥科技,51.0,115.33,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH688041,海光信息,50.0,216.42,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300300,海峡创新,50.0,11.89,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300251,光线传媒,50.0,15.52,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002716,湖南白银,50.0,12.24,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600009,上海机场,50.0,28.64,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002792,通宇通讯,49.0,39.8,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002822,ST中装,49.0,3.29,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300475,香农芯创,49.0,157.15,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000426,兴业银锡,49.0,39.37,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002709,天赐材料,49.0,42.8,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603686,福龙马,48.0,18.5,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300017,网宿科技,48.0,17.53,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603716,塞力医疗,48.0,21.1,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600619,海立股份,48.0,17.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000661,长春高新,47.0,87.86,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002788,鹭燕医药,47.0,13.7,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ000063,中兴通讯,47.0,34.27,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601162,天风证券,47.0,3.88,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002371,北方华创,47.0,468.72,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002422,科伦药业,47.0,34.37,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603516,淳中科技,46.0,148.53,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600989,宝丰能源,46.0,31.87,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002342,巨力索具,46.0,11.93,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002565,顺灏股份,45.0,15.44,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002702,海欣食品,45.0,5.55,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH688585,上纬新材,45.0,123.53,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH603906,龙蟠科技,45.0,17.8,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300394,天孚通信,45.0,312.0,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ300568,星源材质,44.0,14.68,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600000,浦发银行,44.0,10.28,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH600879,航天电子,44.0,21.61,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601728,中国电信,44.0,5.94,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SH601212,白银有色,44.0,8.13,xueqiu_akshare
2026-03-20 15:36:33,2026-03-20,deal_hot,SZ002031,巨轮智能,44.0,6.83,xueqiu_akshare
